,Company,TypeName,Cpu,Ram,Gpu,OpSys,Weight,Price,ppi,IPS,TouchScreen
60,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,115884,127.0,0,0
61,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.7,78416,157.0,0,0
62,Lenovo,Notebook,Intel Core i3,8,Intel HD,No OS,1.7,53437,157.0,1,0
63,Asus,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.4,83947,157.0,0,0
64,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.86,61555,141.0,0,0
65,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,176903,141.0,0,0
66,HP,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,1.86,39136,100.0,0,0
67,HP,Notebook,Other Intel Processor,4,Intel HD,Windows 10,1.44,20429,112.0,0,0
68,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,48976,141.0,0,0
69,Asus,Gaming,Intel Core i7,12,Nvidia GeForce,Linux,3.0,84660,127.0,0,0
71,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,85196,166.0,1,0
72,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,77613,141.0,0,0
73,MSI,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.7,97685,127.0,0,0
74,Acer,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.1,34703,112.0,0,0
75,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,84660,141.0,0,0
76,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,46300,141.0,0,0
77,Dell,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.02,76275,141.0,0,0
78,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,47281,141.0,0,0
79,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,87158,127.0,0,0
80,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.88,97788,141.0,1,0
82,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.63,76721,157.0,0,0
83,Lenovo,Notebook,AMD A-Series,4,AMD R4,Windows 10,2.2,35595,141.0,0,0
84,Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,35238,100.0,0,0
85,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,120344,141.0,1,0
86,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.83,62358,141.0,1,0
87,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.96,53436,141.0,0,0
88,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,129265,141.0,1,0
89,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,147107,166.0,1,0
90,Asus,Gaming,AMD F-Series,8,AMD Radeon,Windows 10,2.45,62358,141.0,0,0
91,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,61466,141.0,0,0
92,HP,Notebook,Intel Core i7,16,Intel UHD,Windows 10,1.49,106784,166.0,0,0
93,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.65,106606,141.0,0,0
94,Asus,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.25,93581,157.0,0,0
95,Acer,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.5,75561,166.0,1,1
96,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.2,53517,141.0,0,0
97,Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux,2.2,43267,141.0,0,0
98,Asus,Notebook,Intel Core i3,6,Nvidia GeForce,Windows 10,2.0,51474,141.0,0,0
99,HP,Gaming,Intel Core i7,12,Nvidia GeForce,Windows 10,2.62,111423,141.0,1,0
100,HP,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,1.91,64142,141.0,0,0
101,HP,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,2.1,31134,141.0,0,0
102,Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux,2.2,57719,141.0,0,0
103,HP,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.38,99826,166.0,1,0
105,HP,Notebook,Intel Core i5,6,Nvidia GeForce,Windows 10,1.58,58789,157.0,1,0
106,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,1.85,37013,141.0,0,0
107,Asus,Ultrabook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.3,106428,157.0,1,0
108,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.2,115884,141.0,0,0
109,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.58,132031,157.0,1,0
110,Asus,Ultrabook,Intel Core i7,16,Nvidia GeForce,Windows 10,1.5,112583,141.0,0,0
111,Dell,Ultrabook,Intel Core i7,8,Intel Iris,Windows 10,1.23,123021,276.0,0,1
112,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.37,124805,166.0,1,1
113,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.63,64410,112.0,1,0
114,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.21,145323,166.0,1,0
115,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.26,124804,166.0,1,1
116,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,96704,157.0,0,0
117,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.16,100837,141.0,1,0
118,Asus,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.0,50314,127.0,0,0
119,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.7,99737,141.0,0,0
120,Acer,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.1,42732,141.0,1,1
121,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,1.8,199964,141.0,0,0
122,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.2,56113,141.0,0,0
123,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,113386,127.0,0,0
124,Acer,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.1,40234,100.0,0,0
125,HP,Notebook,Other Intel Processor,4,Intel HD,No OS,1.86,23105,100.0,0,0
126,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.63,72439,157.0,0,0
127,Asus,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,1.65,24799,112.0,0,0
128,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.8,124537,127.0,0,0
129,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.5,82787,127.0,0,0
130,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.36,57004,100.0,0,0
131,Dell,Notebook,Intel Core i3,4,AMD Radeon,Windows 10,2.2,40055,141.0,0,0
132,Acer,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.6,78862,157.0,1,0
133,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,2.2,51028,141.0,0,0
134,HP,Notebook,Intel Core i7,8,Intel HD,Windows 10,2.05,53348,100.0,0,0
135,HP,Notebook,Intel Core i7,8,Intel UHD,Windows 10,1.63,88139,157.0,0,0
136,Lenovo,Notebook,Other Intel Processor,4,Intel HD,No OS,1.9,22513,100.0,0,0
137,Asus,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,83679,127.0,0,0
138,Lenovo,Notebook,Intel Core i5,4,Nvidia GeForce,No OS,2.2,44516,141.0,0,0
139,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.32,62358,166.0,1,0
140,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,58433,127.0,1,0
141,Lenovo,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,1.75,99560,157.0,1,0
142,Lenovo,Gaming,Intel Core i7,8,Nvidia GeForce,No OS,2.4,77523,141.0,1,0
143,Toshiba,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,53704,100.0,0,0
144,HP,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.86,32918,100.0,0,0
145,Asus,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.25,98042,157.0,0,0
146,HP,Ultrabook,Other Intel Processor,8,Intel HD,Windows 10,0.97,179669,352.0,1,1
147,Asus,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.0,30688,141.0,0,0
148,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,181007,127.0,0,0
149,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,39877,100.0,0,0
150,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.56,111446,141.0,0,0
151,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.62,80200,141.0,0,0
152,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,1.9,44427,100.0,0,0
153,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.8,168607,127.0,0,0
154,HP,Ultrabook,Intel Core i5,4,Intel HD,Windows 10,1.48,96525,157.0,0,0
155,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,1.91,55221,141.0,0,0
156,Lenovo,2 in 1 Convertible,Intel Core i3,4,Intel HD,Windows 10,1.74,56113,157.0,1,1
157,Asus,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.1,117311,166.0,0,1
158,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.56,93581,141.0,0,1
159,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,39877,100.0,0,0
160,Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.03,35952,100.0,0,0
161,Acer,Notebook,Intel Core i5,4,Nvidia GeForce,Windows 10,3.0,71814,127.0,1,0
162,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.13,64945,141.0,0,0
163,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,96258,141.0,1,0
164,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,31045,100.0,0,0
165,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.4,160489,141.0,1,0
166,Acer,Notebook,Other Intel Processor,4,Intel HD,Windows 10,2.1,32429,100.0,0,0
167,Dell,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,2.56,94606,141.0,0,0
168,Acer,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,3.0,76185,127.0,1,0
169,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,67264,166.0,1,0
171,HP,Notebook,Intel Core i5,6,AMD Radeon,Windows 10,2.71,62358,127.0,1,0
172,Lenovo,Notebook,AMD A-Series,4,AMD Radeon,No OS,2.2,27566,100.0,0,0
173,Toshiba,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.0,43624,100.0,0,0
174,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,82341,127.0,0,0
175,Dell,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.3,40947,100.0,0,0
176,Acer,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.1,40055,100.0,0,0
178,Lenovo,Notebook,Intel Core i5,8,AMD R17M-M1-70,Windows 10,1.9,72528,141.0,0,0
179,HP,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.29,133726,331.0,1,1
180,Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux,2.02,93581,141.0,0,0
181,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.23,124805,166.0,0,0
183,Toshiba,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.0,70744,100.0,0,0
185,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.77,138186,127.0,0,1
186,Dell,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.06,213836,282.0,0,1
187,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,No OS,2.4,69495,141.0,1,0
188,Acer,Ultrabook,Intel Core i5,8,Intel HD,Windows 10,1.12,88229,166.0,1,0
189,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,96793,127.0,0,0
190,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.42,251929,210.0,0,1
193,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,62269,106.0,0,0
194,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.62,74847,166.0,1,1
195,HP,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,81538,127.0,1,0
197,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,1.49,85552,166.0,0,0
198,HP,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.35,123021,127.0,1,0
199,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,93224,127.0,0,0
200,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.65,164592,282.0,1,0
201,Lenovo,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,43981,100.0,0,0
202,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.23,66194,141.0,0,0
203,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,156028,141.0,1,0
204,Dell,Workstation,Other Intel Processor,16,Nvidia Quadro,Windows 10,2.8,272537,282.0,0,0
205,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,No OS,2.4,124716,141.0,0,0
206,Dell,Notebook,Intel Core i3,6,Intel HD,Windows 10,2.3,39163,100.0,0,1
207,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.21,173870,331.0,1,1
208,Dell,Ultrabook,Intel Core i7,8,Intel UHD,Windows 10,1.2,129265,166.0,0,0
209,Lenovo,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.2,53258,100.0,0,0
210,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Linux,2.4,69495,141.0,0,0
211,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,125518,127.0,0,0
212,HP,Notebook,Intel Core i3,4,Intel HD,No OS,2.1,31134,141.0,0,0
213,Lenovo,Notebook,Intel Core i5,8,Intel HD,No OS,2.2,48976,141.0,0,0
215,Dell,Ultrabook,Intel Core i7,8,AMD Radeon,Windows 10,1.4,83133,166.0,1,0
216,Lenovo,Notebook,Intel Core i5,8,Nvidia GeForce,No OS,2.8,52545,106.0,0,0
217,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,1.63,91976,157.0,0,0
218,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.6,102502,157.0,0,0
219,Dell,2 in 1 Convertible,Intel Core i7,16,Intel UHD,Windows 10,1.62,114100,166.0,0,1
220,Dell,Notebook,Intel Core i5,8,AMD Radeon,Linux,2.2,60426,141.0,0,0
221,Lenovo,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,1.74,80200,157.0,1,0
222,Toshiba,Ultrabook,Intel Core i7,8,Intel HD,Windows 10,1.2,121593,166.0,0,0
223,HP,Notebook,Intel Core i5,8,Intel UHD,Windows 10,2.1,70833,141.0,0,0
224,Dell,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.42,219130,127.0,1,0
225,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,74223,141.0,0,0
226,Dell,Notebook,Intel Core i7,16,AMD Radeon,Windows 10,2.3,76632,141.0,0,1
227,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.0,68602,141.0,0,0
228,Asus,Notebook,Intel Core i5,8,Nvidia GeForce,Windows 10,2.69,79486,127.0,0,0
229,HP,Notebook,Intel Core i7,8,AMD FirePro,Windows 10,1.9,113207,141.0,0,0
230,Asus,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.37,35594,100.0,0,0
231,HP,Notebook,AMD E-Series,4,AMD Radeon,Windows 10,2.1,29439,100.0,0,0
232,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.2,133726,141.0,1,0
233,Dell,Notebook,Intel Core i5,8,Intel HD,Windows 10,1.6,76631,157.0,0,0
234,Acer,2 in 1 Convertible,Intel Core i5,8,Intel HD,Windows 10,1.6,61466,166.0,1,1
235,Dell,Notebook,Intel Core i7,16,AMD Radeon,Linux,2.36,80200,141.0,0,0
236,Acer,Notebook,Intel Core i3,4,Intel HD,Linux,2.1,34792,100.0,0,0
237,Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,2.2,51296,141.0,0,0
238,Asus,Gaming,Intel Core i7,32,Nvidia GeForce,Windows 10,4.7,347027,127.0,0,0
239,Acer,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,75472,141.0,1,0
240,Lenovo,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.2,52545,100.0,0,0
241,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.1,102145,127.0,0,0
242,Asus,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.69,79308,127.0,0,0
243,Dell,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.56,78416,141.0,0,0
245,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.2,87872,141.0,0,0
246,HP,Notebook,Intel Core i5,8,Intel HD,Windows 10,2.04,49868,100.0,0,1
247,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,3.6,267541,127.0,0,0
248,HP,Notebook,Intel Core i5,4,Intel UHD,Windows 10,1.49,60217,166.0,1,0
249,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,181988,227.0,1,0
250,Dell,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,2.08,73063,141.0,1,1
251,Asus,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.3,160489,127.0,0,0
252,Asus,Notebook,AMD A-Series,4,AMD Radeon,Windows 10,1.68,41839,100.0,0,0
254,Acer,Notebook,Intel Core i3,4,Nvidia GeForce,Windows 10,3.0,62625,127.0,1,0
255,Dell,Ultrabook,Intel Core i5,8,Intel UHD,Windows 10,1.41,84660,166.0,0,0
256,HP,Notebook,AMD A-Series,8,AMD Radeon,Windows 10,1.91,39779,100.0,0,0
257,HP,Notebook,Intel Core i7,16,Nvidia GeForce,Windows 10,2.9,94473,127.0,1,0
258,MSI,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,4.14,222936,127.0,0,0
259,Lenovo,2 in 1 Convertible,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,151568,141.0,1,1
260,Dell,Notebook,Intel Core i7,8,AMD Radeon,Windows 10,2.8,101878,127.0,0,0
261,Lenovo,Notebook,Intel Core i3,4,Intel HD,No OS,2.2,39609,141.0,0,0
262,HP,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.1,64410,141.0,1,0
263,Dell,Notebook,Intel Core i5,4,Intel HD,Windows 10,2.18,58611,141.0,0,0
264,Dell,Notebook,Intel Core i5,8,AMD Radeon,Windows 10,2.24,50404,141.0,0,0
265,Dell,2 in 1 Convertible,Intel Core i5,8,Intel UHD,Windows 10,2.67,71279,141.0,0,1
266,Asus,2 in 1 Convertible,Intel Core i7,8,Intel UHD,Windows 10,1.1,133726,166.0,0,1
267,Lenovo,Notebook,Intel Core i5,4,Intel HD,No OS,2.2,41661,141.0,0,0
268,HP,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.5,90816,127.0,0,0
269,Lenovo,Notebook,Intel Core i7,8,Intel UHD,Windows 10,2.05,78505,141.0,0,0
270,Apple,Ultrabook,Intel Core i5,8,Intel Iris,mac OS,1.37,174753,227.0,1,0
271,Asus,Gaming,AMD Ryzen Series,16,AMD Radeon,Windows 10,3.2,138186,127.0,0,0
272,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.14,65576,141.0,0,0
273,Lenovo,2 in 1 Convertible,Intel Core i7,16,Intel HD,Windows 10,1.36,222936,210.0,0,1
274,Toshiba,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,72439,100.0,0,0
275,Dell,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.3,63613,100.0,0,0
276,Dell,Notebook,Intel Core i7,8,AMD Radeon,Linux,2.8,98042,127.0,0,0
277,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.2,66461,141.0,1,0
278,Lenovo,Notebook,Intel Core i3,4,Intel HD,Windows 10,2.8,43624,106.0,0,0
279,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.8,75739,127.0,0,0
280,Lenovo,Notebook,Intel Core i7,6,Nvidia GeForce,Windows 10,2.8,76631,106.0,0,0
281,Dell,Notebook,Intel Core i3,4,AMD Radeon,Linux,2.25,38182,141.0,0,0
282,Lenovo,Gaming,Intel Core i5,8,Nvidia GeForce,Windows 10,2.5,73955,141.0,1,0
283,Lenovo,Notebook,Intel Core i5,6,Intel HD,Windows 10,2.2,51653,141.0,0,0
284,Acer,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,84839,141.0,1,0
285,Acer,Notebook,Intel Core i7,12,Intel HD,Windows 10,2.15,58789,141.0,1,1
286,Lenovo,Notebook,Intel Core i7,8,Intel HD,Windows 10,1.95,97863,141.0,1,0
287,Asus,Ultrabook,Intel Core i5,8,Nvidia GeForce,Windows 10,1.7,87158,141.0,0,0
288,Lenovo,Gaming,Intel Core i7,16,Nvidia GeForce,Windows 10,2.5,105179,141.0,1,0
289,Lenovo,Notebook,Intel Core i7,8,Nvidia GeForce,No OS,2.2,58790,141.0,0,0
290,Acer,Notebook,Other Intel Processor,2,Intel HD,Chrome OS,2.19,17753,100.0,0,0
291,Asus,Gaming,Intel Core i7,8,Nvidia GeForce,Windows 10,3.0,105892,127.0,0,0
292,HP,Notebook,Intel Core i3,8,Intel HD,Windows 10,2.54,43624,106.0,0,0
293,Dell,Notebook,Intel Core i7,8,Nvidia GeForce,Windows 10,2.0,163165,141.0,0,0
